station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
Y683,2.01250,44.68914767,-123.2189185,71.63285314,0.0000,0.0210,0.0060,0.0055,0.0048,2,0.95,1.33,0.69
Y683,2.01250,44.68914768,-123.2189186,71.63599194,0.0000,0.0210,0.0096,0.0062,0.0057,2,1.02,0.96,1.00
Y683,2.01250,44.68914776,-123.2189188,71.62211702,0.0000,0.0210,0.0063,0.0059,0.0049,2,1.97,-0.95,-0.39
Y683,2.01250,44.68914774,-123.2189185,71.65085438,0.0000,0.0200,0.0076,0.0060,0.0051,2,1.72,1.46,2.49
Y683,2.01250,44.68914766,-123.2189184,71.6400029,-0.0010,0.0220,0.0122,0.0063,0.0060,2,0.86,2.23,1.40
Y683,2.01250,44.68914766,-123.2189184,71.65469464,0.0010,0.0190,0.0087,0.0061,0.0055,2,0.82,2.38,2.87
Y683,2.01250,44.68914766,-123.2189185,71.6255055,0.0010,0.0210,0.0062,0.0057,0.0048,2,0.81,1.50,-0.05
Y683,2.01250,44.68914763,-123.2189183,71.58958948,0.0000,0.0200,0.0113,0.0050,0.0062,2,0.48,3.49,-3.64
Y683,2.01250,44.68914758,-123.2189188,71.65022718,0.0010,0.0220,0.0071,0.0061,0.0062,2,-0.08,-0.91,2.42
Y683,2.01250,44.68914762,-123.2189186,71.61929169,-0.0020,0.0290,0.0105,0.0049,0.0063,2,0.35,0.46,-0.67
Y683,2.01250,44.68914758,-123.2189185,71.62310952,0.0000,0.0210,0.0087,0.0053,0.0063,2,-0.08,1.77,-0.29
Y683,2.01250,44.68914759,-123.2189185,71.6380643,0.0000,0.0200,0.0067,0.0089,0.0070,2,0.07,1.34,1.21
Y683,2.01250,44.68914757,-123.2189186,71.64377279,-0.0010,0.0230,0.0077,0.0058,0.0062,2,-0.20,0.86,1.78
B726,2.89583,44.64840746,-123.062661,41.98301009,0.0050,0.0770,0.0035,0.0068,0.0043,3,0.81,0.89,-7.10
B726,2.99583,44.64840739,-123.062661,42.04516446,0.0000,0.0270,0.0033,0.0056,0.0044,3,0.04,0.98,-0.88
B726,2.99583,44.64840606,-123.0626633,42.28179125,-0.0010,0.0420,0.0039,0.0059,0.0049,3,-14.79,-17.44,22.78
B726,2.91250,44.64840742,-123.0626612,42.03402878,-0.0010,0.0250,0.0033,0.0058,0.0044,3,0.35,-0.76,-2.00
B726,2.99583,44.64840724,-123.0626617,42.16410316,-0.0040,0.0510,0.0061,0.0061,0.0048,3,-1.65,-4.70,11.01
B726,2.99583,44.64840756,-123.0626608,42.0487361,-0.0010,0.0290,0.0090,0.0042,0.0052,3,1.89,2.72,-0.53
B726,2.99583,44.64840747,-123.0626609,42.05728251,0.0000,0.0330,0.0088,0.0046,0.0061,3,0.88,1.92,0.33
B726,2.99583,44.64840749,-123.0626607,42.05090519,0.0010,0.0360,0.0099,0.0047,0.0053,3,1.17,3.01,-0.31
B726,2.99583,44.6484075,-123.0626609,42.04235513,0.0000,0.0310,0.0048,0.0035,0.0041,3,1.26,2.00,-1.16
